idx,temperture,magnetization,specific heat,abs(sigma),sigma**2,sigma**4,HH,HH**2
0,0.125000,1.000000,0.000000,25.000000,625.000000,390625.000000,-10.000000,100.000000
1,0.250000,1.000000,0.000000,25.000000,625.000000,390625.000000,-10.000000,100.000000
2,0.375000,1.000000,0.000000,25.000000,625.000000,390625.000000,-10.000000,100.000000
3,0.500000,1.000000,0.000000,25.000000,625.000000,390625.000000,-10.000000,100.000000
4,0.625000,1.000000,0.000000,25.000000,625.000000,390625.000000,-10.000000,100.000000
5,0.750000,0.999944,0.003184,24.998600,624.932800,390547.451200,-9.998880,99.979392
6,0.875000,0.999744,0.011419,24.993600,624.694400,390275.576000,-9.994960,99.907968
7,1.000000,0.999296,0.022528,24.982400,624.157600,389657.728000,-9.986160,99.745920
8,1.125000,0.998208,0.046353,24.955200,622.859200,388173.947200,-9.964800,99.355904
9,1.250000,0.996552,0.070653,24.913800,620.902400,385971.531200,-9.934000,98.794752
10,1.375000,0.992184,0.137665,24.804600,615.792800,380319.411200,-9.854400,97.369472
11,1.500000,0.986120,0.208194,24.653000,608.903200,372935.968000,-9.750240,95.535616
12,1.625000,0.977208,0.286408,24.430200,598.950400,362609.214400,-9.607520,93.060736
13,1.750000,0.963976,0.387093,24.099400,584.592000,348082.795200,-9.400000,89.545472
14,1.875000,0.942424,0.521797,23.560600,562.028800,326386.072000,-9.089200,84.448000
15,2.000000,0.917856,0.637244,22.946400,538.775200,306185.075200,-8.788080,79.779328
16,2.125000,0.884168,0.743760,22.104200,506.283200,278057.441600,-8.367200,73.368576
17,2.250000,0.832744,0.897157,20.818600,460.792000,242543.406400,-7.783040,65.117568
18,2.375000,0.781208,0.919382,19.530200,416.634400,209068.499200,-7.230400,57.464576
19,2.500000,0.720656,0.941312,18.016400,368.676000,176269.670400,-6.632000,49.866624
20,2.625000,0.663584,0.864976,16.589600,322.736800,144612.006400,-6.037120,42.407040
21,2.750000,0.611312,0.784425,15.282800,284.471200,120780.160000,-5.559840,36.844032
22,2.875000,0.572512,0.695153,14.312800,254.558400,101953.147200,-5.144160,32.208256
23,3.000000,0.513624,0.603771,12.840600,214.270400,79839.060800,-4.610240,26.688256
24,3.125000,0.487144,0.500983,12.178600,195.259200,68422.056000,-4.353280,23.843456
25,3.250000,0.450816,0.440955,11.270400,171.354400,56254.470400,-3.991440,20.589184
26,3.375000,0.429952,0.387149,10.748800,158.751200,49999.260800,-3.807360,18.905856
27,3.500000,0.408984,0.342392,10.224600,145.464800,43463.619200,-3.591760,17.095040
28,3.625000,0.378000,0.295268,9.450000,127.602400,35518.134400,-3.307600,14.820224
29,3.750000,0.364992,0.249074,9.124800,118.658400,30950.140800,-3.166160,13.527168
30,3.875000,0.348472,0.223952,8.711800,109.825600,27491.944000,-2.997200,12.345984
31,4.000000,0.341088,0.218729,8.527200,106.326400,26495.108800,-2.901760,11.919872
32,4.125000,0.324616,0.185361,8.115400,97.165600,22673.171200,-2.791280,10.945280
33,4.250000,0.317784,0.168605,7.944600,93.189600,20901.340800,-2.704560,10.360064
34,4.375000,0.301472,0.153343,7.536800,84.345600,17636.875200,-2.520080,9.285888
35,4.500000,0.298176,0.137100,7.454400,82.554400,17005.561600,-2.520480,9.129088
36,4.625000,0.290616,0.124552,7.265400,78.615200,15500.710400,-2.418240,8.512128
37,4.750000,0.281984,0.120196,7.049600,74.602400,14340.953600,-2.311600,8.055424
38,4.875000,0.283248,0.114194,7.081200,75.164800,14353.067200,-2.254320,7.795840
39,5.000000,0.276632,0.098684,6.915800,70.872800,12599.964800,-2.163840,7.149312
