,temperture,magnetization,specific heat,abs(sigma),sigma**2,HH,HH**2
0,2.251200,0.702272,1.685037,438.920222,206101.784000,-918.697111,849341.633778
1,2.252400,0.670074,1.918778,418.796000,190505.254222,-905.052444,825204.019556
2,2.253600,0.714643,1.596340,446.651778,208837.835556,-919.821778,851139.198222
3,2.254800,0.685735,1.811139,428.584333,196894.034667,-909.702000,833312.760889
4,2.256000,0.699230,1.602441,437.019000,202030.183111,-912.498889,837751.523556
5,2.257200,0.709329,1.648596,443.330667,207213.139556,-916.032000,844364.323556
6,2.258400,0.671976,1.880971,419.985222,193418.692444,-908.512889,831391.699556
7,2.259600,0.706606,1.682971,441.628778,205360.609778,-914.836444,842296.282667
8,2.260800,0.692374,1.796538,432.733778,199604.785333,-909.018667,832053.994667
9,2.262000,0.653491,1.756506,408.431778,182313.728444,-895.628889,807768.240000
10,2.263200,0.675494,1.692058,422.183444,190261.664000,-899.925111,815281.984000
11,2.264400,0.686272,1.666731,428.920000,195547.189778,-905.471333,825219.696000
12,2.265600,0.686988,1.697249,429.367667,194725.768000,-903.117556,821066.247111
13,2.266800,0.648453,1.806203,405.282889,179897.103556,-893.667778,804442.698667
14,2.268000,0.699794,1.676017,437.371111,201105.574667,-908.135111,830097.591111
15,2.269200,0.679215,1.652411,424.509556,192522.902222,-901.154444,817397.274667
16,2.270400,0.678288,1.719786,423.929889,190339.753333,-897.990222,811927.070222
17,2.271600,0.615546,1.958498,384.716000,168620.636889,-883.764000,787355.166222
18,2.272800,0.691849,1.630842,432.405556,196580.718667,-902.260667,819339.504000
19,2.274000,0.683627,1.770009,427.267111,195450.558222,-901.098222,817698.536889
20,2.275200,0.662334,1.691233,413.958667,186122.219556,-896.570000,809309.468444
21,2.276400,0.687809,1.586481,429.880444,195378.141333,-899.704889,814607.098667
22,2.277600,0.671193,1.744038,419.495889,188129.017778,-894.178667,805209.943111
23,2.278800,0.676152,1.646977,422.595000,188297.508889,-893.049333,802882.510222
24,2.280000,0.627158,1.886804,391.973667,170307.451556,-880.436222,781298.168889
